ID,x,y
916,609838.166,9633305.05
917,609830.89,9633316.962
918,609820.461,9633328.559
919,609808.471,9633341.892
920,609803.491,9633371.812
921,609813.451,9633391.752
922,609833.38,9633406.712
923,609853.31,9633419.172
924,609870.75,9633434.131
925,609893.17,9633456.571
926,609923.07,9633461.561
927,609950.469,9633461.561
928,609976.376,9633444.275
929,609980.369,9633441.611
930,609980.821,9633441.159
931,610002.789,9633419.171
932,610002.789,9633416.993
933,610002.789,9633361.832
934,610000.299,9633326.932
935,610015.239,9633297.013
936,610030.188,9633262.113
937,610067.558,9633244.663
938,610092.816,9633244.663
939,610094.958,9633244.663
940,610139.807,9633247.153
941,610164.717,9633254.633
942,610207.067,9633264.613
943,610244.436,9633274.582
944,610245.161,9633274.634
945,610279.306,9633277.072
946,610314.186,9633277.072
947,610341.586,9633282.062
948,610361.515,9633294.522
949,610391.415,9633329.422
950,610411.345,9633361.831
951,610428.785,9633389.261
952,610448.715,9633419.171
953,610463.665,9633444.111
954,610483.594,9633454.081
955,610528.434,9633454.08
956,610548.364,9633456.57
957,610578.253,9633469.04
958,610598.183,9633486.49
959,610615.623,9633508.92
960,610628.083,9633528.87
961,610638.043,9633546.319
962,610650.503,9633568.759
963,610660.463,9633603.659
964,610680.393,9633603.659
965,610705.302,9633601.169
966,610720.252,9633591.199
967,610757.622,9633571.249
968,610792.502,9633558.789
969,610819.901,9633556.289
970,610851.441,9633556.289
971,610926.72,9633547.279
972,610968.7,9633529.559
973,611080.649,9633472.58
974,611151.918,9633418.08
975,611227.027,9633354.691
976,611257.047,9633317.741
977,611267.387,9633289.751
978,611272.527,9633261.362
979,611267.717,9633240.972
980,611254.137,9633225.092
981,611227.277,9633215.002
982,611153.578,9633200.912
983,611083.718,9633179.223
984,611028.079,9633139.503
985,610946.59,9633096.263
986,610896.29,9633122.213
987,610851.171,9633115.313
988,610825.491,9633095.664
989,610791.471,9633077.104
990,610814.881,9633048.454
991,610851.08,9633025.674
992,610947.93,9633062.184
993,611008.879,9633092.753
994,611143.478,9633167.883
995,611279.257,9633202.402
996,611289.537,9633209.232
997,611295.466,9633217.862
998,611311.106,9633248.142
999,611316.146,9633271.011
1000,611310.096,9633293.711
1001,611280.407,9633354.771
1002,611238.347,9633422.02
1003,611153.058,9633491.74
1004,611077.979,9633544.969
1005,611023.619,9633567.799
1006,610957.16,9633582.879
1007,610851.501,9633610.699
1008,610817.411,9633606.149
1009,610794.992,9633611.139
1010,610772.572,9633633.579
1011,610727.732,9633658.508
1012,610700.323,9633675.958
1013,610680.393,9633675.958
1014,610670.433,9633665.988
1015,610638.043,9633631.079
1016,610610.643,9633601.169
1017,610598.183,9633578.729
1018,610588.223,9633561.279
1019,610570.784,9633538.84
1020,610555.834,9633526.38
1021,610525.944,9633516.4
1022,610486.084,9633516.4
1023,610461.165,9633511.42
1024,610423.805,9633476.51
1025,610398.885,9633444.111
1026,610359.025,9633411.701
1027,610329.136,9633384.271
1028,610306.716,9633351.861
1029,610284.296,9633326.932
1030,610256.886,9633304.492
1031,610182.157,9633304.492
1032,610152.403,9633308.217
1033,610142.297,9633309.482
1034,610112.398,9633309.482
1035,610087.488,9633319.452
1036,610060.088,9633354.362
1037,610047.628,9633386.772
1038,610037.659,9633429.151
1039,610037.659,9633461.561
1040,610018.97,9633501.301
1041,610017.729,9633503.941
1042,610011.13,9633506.691
1043,609994.826,9633513.488
1044,609987.839,9633516.4
1045,609940.51,9633531.36
1046,609888.31,9633527.08
1047,609864.65,9633514.631
1048,609843.47,9633497.191
1049,609812.331,9633487.221
1050,609787.421,9633483.481
1051,609761.261,9633483.481
1052,609726.381,9633485.981
1053,609716.683,9633488.693
1054,609706.185,9633491.63
1055,609695.242,9633494.691
1056,609652.892,9633500.921
1057,609604.313,9633512.131
1058,609549.503,9633525.841
1059,609499.684,9633537.051
1060,609446.124,9633550.751
1061,609405.015,9633561.961
1062,609345.225,9633583.13
1063,609328.962,9633591.806
1064,609307.866,9633603.06
1065,609270.496,9633621.75
1066,609220.666,9633650.4
1067,609190.777,9633674.07
1068,609155.897,9633690.26
